Board Number,Board Name,Board Type,Municipality,Board Website
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),Sault Ste. Marie,http://www.adsb.on.ca
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),Kingston,http://www.alcdsb.on.ca
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Stratford,https://amdsb.ca
B80012,Bloorview SA,Provincial/Hospital,Toronto,www.bloorviewschool.ca
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),Owen Sound,http://www.bwdsb.on.ca
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),Brantford,http://www.bhncdsb.ca
B67008,Bruce-Grey CDSB,Cath Dist Sch Brd (E/F),South Bruce,http://www.bgcdsb.org
B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),Cornwall,http://www.cdsbeo.on.ca
B80055,CHEO SA,Provincial/Hospital,Ottawa,https://www.cheo.on.ca/en/clinics-services-programs/school.aspx
B66303,CS Viamonde,Pub Dist Sch Brd (E/F),Toronto,http://www.csviamonde.ca
B67318,CS catholique MonAvenir,Cath Dist Sch Brd (E/F),Toronto,http://www.cscmonavenir.ca
B28118,CS public du Grand Nord de l'Ontario,Pub Dist Sch Brd (E/F),Greater Sudbury,http://www.cspgno.ca
B28100,CS public du Nord-Est de l'Ontario,Pub Dist Sch Brd (E/F),North Bay,www.cspne.ca
B29114,CSDC Franco-Nord,Cath Dist Sch Brd (E/F),North Bay,https://www.franco-nord.ca
B67326,CSDC de l'Est ontarien,Cath Dist Sch Brd (E/F),North Glengarry,http://www.csdceo.ca
B29130,CSDC des Aurores boréales,Cath Dist Sch Brd (E/F),Greenstone,csdcab.ca
B29106,CSDC des Grandes Rivières,Cath Dist Sch Brd (E/F),Kapuskasing,http://www.cscdgr.on.ca
B67334,CSDC du Centre-Est de l'Ontario,Cath Dist Sch Brd (E/F),Brockville,http://www.ecolecatholique.ca
B29122,CSDC du Nouvel-Ontario,Cath Dist Sch Brd (E/F),Greater Sudbury,www.nouvelon.ca
B67300,Conseil scolaire catholique Providence,Cath Dist Sch Brd (E/F),Windsor,www.cscProvidence.ca
B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ottawa,http://www.cepeo.on.ca
B66150,DSB Niagara,Pub Dist Sch Brd (E/F),Pelham,http://www.dsbn.org
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),Timmins,http://www.dsb1.ca
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),Mississauga,http://www.dpcdsb.org
B67105,Durham CDSB,Cath Dist Sch Brd (E/F),Whitby,http://www.dcdsb.ca
B66060,Durham DSB,Pub Dist Sch Brd (E/F),Oshawa,www.ddsb.ca
B66168,Grand Erie DSB,Pub Dist Sch Brd (E/F),Brantford,www.granderie.ca
B80020,Grandview SA,Provincial/Hospital,Oshawa,https://grandviewkids.ca/grandview-school/
B66028,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Tecumseh,http://www.publicboard.ca
B67113,Halton CDSB,Cath Dist Sch Brd (E/F),Burlington,hcdsb.org
B66133,Halton DSB,Pub Dist Sch Brd (E/F),Oakville,http://www.hdsb.ca/
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),Hamilton,http://www.hwcdsb.ca/
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),Hamilton,http://www.hwdsb.on.ca
B66222,Hastings & Prince Edward DSB,Pub Dist Sch Brd (E/F),Prince Edward County,http://www.hpedsb.on.ca
B67016,Huron Perth CDSB,Cath Dist Sch Brd (E/F),St. Marys,www.huronperthcatholic.ca
B29025,Huron-Superior CDSB,Cath Dist Sch Brd (E/F),Sault Ste. Marie,http://www.hscdsb.on.ca
B15148,James Bay Lowlands SSB,Sec Sch Brd (Sch Auth),Moosonee,jblssb.ca
B80047,John McGivney Children's Centre SA,Provincial/Hospital,Windsor,http://school.jmccentre.ca
B66079,Kawartha Pine Ridge DSB,Pub Dist Sch Brd (E/F),Peterborough,http://www.kprschools.ca
B28045,Keewatin-Patricia DSB,Pub Dist Sch Brd (E/F),Kenora,http://www.kpdsb.on.ca
B29050,Kenora CDSB,Cath Dist Sch Brd (E/F),Red Lake,http://www.kcdsb.on.ca
B80039,KidsAbility E A,Provincial/Hospital,Waterloo,www.kidsability.ca
B28061,Lakehead DSB,Pub Dist Sch Brd (E/F),Thunder Bay,http://www.lakeheadschools.ca
B66036,Lambton Kent DSB,Pub Dist Sch Brd (E/F),Chatham-Kent,http://www.lkdsb.net
B66206,Limestone DSB,Pub Dist Sch Brd (E/F),Loyalist,http://www.limestone.on.ca
B67032,London District Catholic School Board,Cath Dist Sch Brd (E/F),Aylmer,http://ldcsb.on.ca
B15199,Moose Factory Island DSAB,Public School Board,Cochrane,https://mfidsab.ca/mfidsab/
B15202,Moosonee DSAB,Public School Board,Moosonee,mdsab.ca
B28037,Near North DSB,Pub Dist Sch Brd (E/F),North Bay,http://www.nearnorthschools.ca
B67156,Niagara CDSB,Cath Dist Sch Brd (E/F),Welland,http://www.niagaracatholic.ca
B80004,Niagara Peninsula Children's Centre SA,Provincial/Hospital,St. Catharines,www.npcc.on.ca
B29017,Nipissing-Parry Sound CDSB,Cath Dist Sch Brd (E/F),North Bay,www.npsc.ca
B29009,Northeastern CDSB,Cath Dist Sch Brd (E/F),Cochrane,ncdsb.on.ca
B29041,Northwest CDSB,Cath Dist Sch Brd (E/F),Morley,http://www.tncdsb.on.ca
B67180,Ottawa CSB,Cath Dist Sch Brd (E/F),Ottawa,http://www.ocsb.ca
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),Ottawa,http://www.ocdsb.ca
B66125,Peel DSB,Pub Dist Sch Brd (E/F),Brampton,http://www.peelschools.org
B79910,Penetanguishene PSSB,Prot Sep Sch Brd (Sch Auth),Penetanguishene,https://www.pssbp.ca
B67067,Peterborough Victoria Northum Clarington CDSB,Cath Dist Sch Brd (E/F),Clarington,http://www.pvnccdsb.on.ca
B76686,Provincial and Demonstration Schools,Provincial/Hospital,Milton,https://pdsbnet.ca
B28029,Rainbow DSB,Pub Dist Sch Brd (E/F),Espanola,http://www.rainbowschools.ca
B28053,Rainy River DSB,Pub Dist Sch Brd (E/F),La Vallee,http://www.rrdsb.com
B67199,Renfrew County CDSB,Cath Dist Sch Brd (E/F),Pembroke,http://www.rccdsb.edu.on.ca
B66214,Renfrew County DSB,Pub Dist Sch Brd (E/F),Arnprior,http://www.renfrew.edu.on.ca
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),Adjala-Tosorontio,http://www.scdsb.on.ca
B67091,Simcoe Muskoka CDSB,Cath Dist Sch Brd (E/F),Penetanguishene,http://www.smcdsb.on.ca
B67040,St Clair CDSB,Cath Dist Sch Brd (E/F),Chatham-Kent,http://www.st-clair.net
